"NAME","LSAD","CENSUS2010POP","NPOPCHG_2010","NATURALINC2010","BIRTHS2010","DEATHS2010","NETMIG2010","INTERNATIONALMIG2010","DOMESTICMIG2010","RESIDUAL2010"
"Abilene, TX","Metropolitan Statistical Area",165252,417,228,609,381,190,77,113,-1
"Callahan County, TX","County or equivalent",13544,-12,-14,36,50,2,1,1,0
"Jones County, TX","County or equivalent",20202,27,10,41,31,17,2,15,0
"Taylor County, TX","County or equivalent",131506,402,232,532,300,171,74,97,-1
"Akron, OH","Metropolitan Statistical Area",703200,-332,310,1945,1635,-631,127,-758,-11
"Portage County, OH","County or equivalent",161419,-38,65,385,320,-101,26,-127,-2
"Summit County, OH","County or equivalent",541781,-294,245,1560,1315,-530,101,-631,-9
"Albany, GA","Metropolitan Statistical Area",157308,277,220,542,322,57,36,21,0
"Baker County, GA","County or equivalent",3451,-60,4,6,2,-61,0,-61,-3
"Dougherty County, GA","County or equivalent",94565,156,147,363,216,11,32,-21,-2
"Lee County, GA","County or equivalent",28298,151,31,83,52,116,3,113,4
"Terrell County, GA","County or equivalent",9315,69,26,34,8,43,1,42,0
"Worth County, GA","County or equivalent",21679,-39,12,56,44,-52,0,-52,1
"Albany-Schenectady-Troy, NY","Metropolitan Statistical Area",870716,248,443,2293,1850,-184,408,-592,-11
"Albany County, NY","County or equivalent",304204,-317,133,769,636,-453,188,-641,3
"Rensselaer County, NY","County or equivalent",159429,36,78,443,365,-37,75,-112,-5
"Saratoga County, NY","County or equivalent",219607,381,126,547,421,257,68,189,-2
"Schenectady County, NY","County or equivalent",154727,205,122,467,345,88,76,12,-5
"Schoharie County, NY","County or equivalent",32749,-57,-16,67,83,-39,1,-40,-2
"Albuquerque, NM","Metropolitan Statistical Area",887077,2893,1387,2938,1551,1499,468,1031,7
"Bernalillo County, NM","County or equivalent",662564,1861,1049,2250,1201,814,425,389,-2
"Sandoval County, NM","County or equivalent",131561,826,215,397,182,598,24,574,13
"Torrance County, NM","County or equivalent",16383,-2,32,42,10,-32,2,-34,-2
"Valencia County, NM","County or equivalent",76569,208,91,249,158,119,17,102,-2
"Alexandria, LA","Metropolitan Statistical Area",153922,193,136,532,396,62,35,27,-5
"Grant Parish, LA","County or equivalent",22309,26,17,66,49,10,2,8,-1
"Rapides Parish, LA","County or equivalent",131613,167,119,466,347,52,33,19,-4
"Allentown-Bethlehem-Easton, PA-NJ","Metropolitan Statistical Area",821173,1121,373,2198,1825,768,402,366,-20
"Warren County, NJ","County or equivalent",108692,-21,9,234,225,-28,42,-70,-2
"Carbon County, PA","County or equivalent",65249,-25,-52,147,199,30,2,28,-3
"Lehigh County, PA","County or equivalent",349497,714,315,1064,749,407,252,155,-8
"Northampton County, PA","County or equivalent",297735,453,101,753,652,359,106,253,-7
"Altoona, PA","Metropolitan Statistical Area",127089,-46,-51,353,404,12,1,11,-7
"Blair County, PA","County or equivalent",127089,-46,-51,353,404,12,1,11,-7
"Amarillo, TX","Metropolitan Statistical Area",249881,873,512,972,460,356,116,240,5
"Armstrong County, TX","County or equivalent",1901,0,3,6,3,-4,0,-4,1
"Carson County, TX","County or equivalent",6182,-10,8,14,6,-18,0,-18,0
"Potter County, TX","County or equivalent",121073,375,323,559,236,55,90,-35,-3
"Randall County, TX","County or equivalent",120725,508,178,393,215,323,26,297,7
"Ames, IA","Metropolitan Statistical Area",89542,25,115,236,121,-95,91,-186,5
"Story County, IA","County or equivalent",89542,25,115,236,121,-95,91,-186,5
"Anchorage, AK","Metropolitan Statistical Area",380821,2307,1078,1461,383,1201,331,870,28
"Anchorage Municipality, AK","County or equivalent",291826,1530,844,1128,284,674,314,360,12
"Matanuska-Susitna Borough, AK","County or equivalent",88995,777,234,333,99,527,17,510,16
"Anderson, IN","Metropolitan Statistical Area",131636,16,68,400,332,-48,6,-54,-4
"Madison County, IN","County or equivalent",131636,16,68,400,332,-48,6,-54,-4
"Anderson, SC","Metropolitan Statistical Area",187126,160,72,561,489,96,42,54,-8
"Anderson County, SC","County or equivalent",187126,160,72,561,489,96,42,54,-8
"Ann Arbor, MI","Metropolitan Statistical Area",344791,459,480,953,473,-29,361,-390,8
"Washtenaw County, MI","County or equivalent",344791,459,480,953,473,-29,361,-390,8
"Anniston-Oxford, AL","Metropolitan Statistical Area",118572,-146,-17,324,341,-127,15,-142,-2
"Calhoun County, AL","County or equivalent",118572,-146,-17,324,341,-127,15,-142,-2
"Appleton, WI","Metropolitan Statistical Area",225666,318,336,704,368,-16,37,-53,-2
"Calumet County, WI","County or equivalent",48971,48,57,142,85,-9,1,-10,0
"Outagamie County, WI","County or equivalent",176695,270,279,562,283,-7,36,-43,-2
"Asheville, NC","Metropolitan Statistical Area",424858,708,-35,1063,1098,757,175,582,-14
"Buncombe County, NC","County or equivalent",238318,527,74,635,561,454,118,336,-1
"Haywood County, NC","County or equivalent",59036,-62,-44,127,171,-13,4,-17,-5
"Henderson County, NC","County or equivalent",106740,225,-51,262,313,283,50,233,-7
"Madison County, NC","County or equivalent",20764,18,-14,39,53,33,3,30,-1
"Athens-Clarke County, GA","Metropolitan Statistical Area",192541,280,274,573,299,-3,143,-146,9
"Clarke County, GA","County or equivalent",116714,-4,190,361,171,-203,120,-323,9
"Madison County, GA","County or equivalent",28120,57,20,86,66,37,5,32,0
"Oconee County, GA","County or equivalent",32808,210,43,87,44,166,18,148,1
"Oglethorpe County, GA","County or equivalent",14899,17,21,39,18,-3,0,-3,-1
"Atlanta-Sandy Springs-Marietta, GA","Metropolitan Statistical Area",5268860,17436,10310,18054,7744,6897,4456,2441,229
"Barrow County, GA","County or equivalent",69367,357,138,254,116,215,24,191,4
"Bartow County, GA","County or equivalent",100157,9,138,327,189,-133,33,-166,4
"Butts County, GA","County or equivalent",23655,19,9,67,58,11,3,8,-1
"Carroll County, GA","County or equivalent",110527,154,153,381,228,1,57,-56,0
"Cherokee County, GA","County or equivalent",214346,901,450,705,255,448,96,352,3
"Clayton County, GA","County or equivalent",259424,218,729,1073,344,-534,225,-759,23
"Cobb County, GA","County or equivalent",688078,1671,1426,2334,908,233,672,-439,12
"Coweta County, GA","County or equivalent",127317,589,220,406,186,361,54,307,8
"Dawson County, GA","County or equivalent",22330,23,29,59,30,-5,2,-7,-1
"DeKalb County, GA","County or equivalent",691893,965,1701,2678,977,-790,1025,-1815,54
"Douglas County, GA","County or equivalent",132403,247,191,413,222,57,49,8,-1
"Fayette County, GA","County or equivalent",106567,443,30,190,160,415,55,360,-2
"Forsyth County, GA","County or equivalent",175511,1264,354,561,207,890,89,801,20
"Fulton County, GA","County or equivalent",920581,5337,1615,3161,1546,3643,917,2726,79
"Gwinnett County, GA","County or equivalent",805321,2970,2025,2885,860,939,919,20,6
"Haralson County, GA","County or equivalent",28780,9,0,89,89,11,1,10,-2
"Heard County, GA","County or equivalent",11834,22,7,27,20,15,1,14,0
"Henry County, GA","County or equivalent",203922,1275,300,615,315,953,72,881,22
"Jasper County, GA","County or equivalent",13900,34,22,43,21,13,7,6,-1
"Lamar County, GA","County or equivalent",18317,-69,10,47,37,-81,1,-82,2
"Meriwether County, GA","County or equivalent",21992,-129,23,62,39,-154,1,-155,2
"Newton County, GA","County or equivalent",99958,114,156,338,182,-43,21,-64,1
"Paulding County, GA","County or equivalent",142324,472,300,471,171,169,36,133,3
"Pickens County, GA","County or equivalent",29431,26,-4,73,77,33,4,29,-3
"Pike County, GA","County or equivalent",17869,48,13,45,32,34,3,31,1
"Rockdale County, GA","County or equivalent",85215,204,122,261,139,83,67,16,-1
"Spalding County, GA","County or equivalent",64073,-10,58,221,163,-68,12,-80,0
"Walton County, GA","County or equivalent",83768,273,95,268,173,181,10,171,-3
"Atlantic City-Hammonton, NJ","Metropolitan Statistical Area",274549,117,193,810,617,-74,269,-343,-2
"Atlantic County, NJ","County or equivalent",274549,117,193,810,617,-74,269,-343,-2
"Auburn-Opelika, AL","Metropolitan Statistical Area",140247,537,205,418,213,325,73,252,7
"Lee County, AL","County or equivalent",140247,537,205,418,213,325,73,252,7
"Augusta-Richmond County, GA-SC","Metropolitan Statistical Area",556877,1508,430,1580,1150,1065,230,835,13
"Burke County, GA","County or equivalent",23316,63,64,87,23,0,3,-3,-1
"Columbia County, GA","County or equivalent",124053,881,246,406,160,619,53,566,16
"McDuffie County, GA","County or equivalent",21875,-6,34,76,42,-39,4,-43,-1
"Richmond County, GA","County or equivalent",200549,340,244,725,481,98,130,-32,-2
"Aiken County, SC","County or equivalent",160099,268,-138,258,396,404,40,364,2
"Edgefield County, SC","County or equivalent",26985,-38,-20,28,48,-17,0,-17,-1
"Austin-Round Rock-San Marcos, TX","Metropolitan Statistical Area",1716289,11958,4491,6474,1983,7314,1534,5780,153
"Bastrop County, TX","County or equivalent",74171,232,97,219,122,132,7,125,3
"Caldwell County, TX","County or equivalent",38066,60,47,120,73,14,10,4,-1
"Hays County, TX","County or equivalent",157107,1208,326,518,192,863,22,841,19
"Travis County, TX","County or equivalent",1024266,6316,2880,4033,1153,3367,1255,2112,69
"Williamson County, TX","County or equivalent",422679,4142,1141,1584,443,2938,240,2698,63
"Bakersfield-Delano, CA","Metropolitan Statistical Area",839631,3182,2129,3450,1321,1040,566,474,13
"Kern County, CA","County or equivalent",839631,3182,2129,3450,1321,1040,566,474,13
"Baltimore-Towson, MD","Metropolitan Statistical Area",2710489,4057,2854,8391,5537,1225,1643,-418,-22
"Anne Arundel County, MD","County or equivalent",537656,1585,816,1724,908,768,356,412,1
"Baltimore County, MD","County or equivalent",805029,935,519,2416,1897,449,531,-82,-33
"Carroll County, MD","County or equivalent",167134,113,71,405,334,48,26,22,-6
"Harford County, MD","County or equivalent",244826,364,236,672,436,131,53,78,-3
"Howard County, MD","County or equivalent",287085,1387,532,843,311,842,280,562,13
"Queen Anne's County, MD","County or equivalent",47798,74,26,121,95,51,5,46,-3
"Baltimore city, MD","County or equivalent",620961,-401,654,2210,1556,-1064,392,-1456,9
"Bangor, ME","Metropolitan Statistical Area",153923,-83,6,376,370,-86,26,-112,-3
"Penobscot County, ME","County or equivalent",153923,-83,6,376,370,-86,26,-112,-3
"Barnstable Town, MA","Metropolitan Statistical Area",215888,100,-241,438,679,355,112,243,-14
"Barnstable County, MA","County or equivalent",215888,100,-241,438,679,355,112,243,-14
"Baton Rouge, LA","Metropolitan Statistical Area",802484,2084,1341,2765,1424,729,267,462,14
"Ascension Parish, LA","County or equivalent",107215,693,249,405,156,432,17,415,12
"East Baton Rouge Parish, LA","County or equivalent",440171,701,675,1539,864,31,220,-189,-5
"East Feliciana Parish, LA","County or equivalent",20267,-65,24,60,36,-90,1,-91,1
"Iberville Parish, LA","County or equivalent",33387,-25,45,99,54,-69,1,-70,-1
"Livingston Parish, LA","County or equivalent",128026,618,213,447,234,396,19,377,9
"Pointe Coupee Parish, LA","County or equivalent",22802,-15,29,74,45,-42,3,-45,-2
"St. Helena Parish, LA","County or equivalent",11203,3,21,29,8,-16,1,-17,-2
"West Baton Rouge Parish, LA","County or equivalent",23788,166,62,84,22,101,5,96,3
"West Feliciana Parish, LA","County or equivalent",15625,8,23,28,5,-14,0,-14,-1
"Battle Creek, MI","Metropolitan Statistical Area",136146,-62,93,416,323,-154,41,-195,-1
"Calhoun County, MI","County or equivalent",136146,-62,93,416,323,-154,41,-195,-1
"Bay City, MI","Metropolitan Statistical Area",107771,-56,11,292,281,-62,9,-71,-5
"Bay County, MI","County or equivalent",107771,-56,11,292,281,-62,9,-71,-5
"Beaumont-Port Arthur, TX","Metropolitan Statistical Area",388745,403,355,1293,938,53,143,-90,-5
"Hardin County, TX","County or equivalent",54635,158,55,175,120,103,3,100,0
"Jefferson County, TX","County or equivalent",252273,104,250,855,605,-141,132,-273,-5
"Orange County, TX","County or equivalent",81837,141,50,263,213,91,8,83,0
"Bellingham, WA","Metropolitan Statistical Area",201140,474,250,585,335,231,130,101,-7
"Whatcom County, WA","County or equivalent",201140,474,250,585,335,231,130,101,-7
"Bend, OR","Metropolitan Statistical Area",157733,199,163,446,283,46,37,9,-10
"Deschutes County, OR","County or equivalent",157733,199,163,446,283,46,37,9,-10
"Billings, MT","Metropolitan Statistical Area",158050,479,193,510,317,289,17,272,-3
"Carbon County, MT","County or equivalent",10078,1,14,22,8,-11,0,-11,-2
"Yellowstone County, MT","County or equivalent",147972,478,179,488,309,300,17,283,-1
"Binghamton, NY","Metropolitan Statistical Area",251725,-262,12,641,629,-273,78,-351,-1
"Broome County, NY","County or equivalent",200600,-232,-3,510,513,-229,78,-307,0
"Tioga County, NY","County or equivalent",51125,-30,15,131,116,-44,0,-44,-1
"Birmingham-Hoover, AL","Metropolitan Statistical Area",1128047,1018,941,3610,2669,74,411,-337,3
"Bibb County, AL","County or equivalent",22915,-39,4,56,52,-44,2,-46,1
"Blount County, AL","County or equivalent",57322,65,32,170,138,36,27,9,-3
"Chilton County, AL","County or equivalent",43643,80,27,135,108,54,10,44,-1
"Jefferson County, AL","County or equivalent",658466,-80,511,2160,1649,-596,256,-852,5
"St. Clair County, AL","County or equivalent",83593,237,83,271,188,154,15,139,0
"Shelby County, AL","County or equivalent",195085,778,327,622,295,446,97,349,5
"Walker County, AL","County or equivalent",67023,-23,-43,196,239,24,4,20,-4
"Bismarck, ND","Metropolitan Statistical Area",108779,526,169,377,208,354,11,343,3
"Burleigh County, ND","County or equivalent",81308,398,124,275,151,272,10,262,2
"Morton County, ND","County or equivalent",27471,128,45,102,57,82,1,81,1
"Blacksburg-Christiansburg-Radford, VA","Metropolitan Statistical Area",162958,85,36,360,324,54,73,-19,-5
"Giles County, VA","County or equivalent",17286,3,-7,46,53,11,0,11,-1
"Montgomery County, VA","County or equivalent",94392,118,65,213,148,55,58,-3,-2
"Pulaski County, VA","County or equivalent",34872,-76,-49,66,115,-25,1,-26,-2
"Radford city, VA","County or equivalent",16408,40,27,35,8,13,14,-1,0
"Bloomington, IN","Metropolitan Statistical Area",192714,532,108,472,364,421,136,285,3
"Greene County, IN","County or equivalent",33165,20,-8,91,99,30,0,30,-2
"Monroe County, IN","County or equivalent",137974,504,122,325,203,376,133,243,6
"Owen County, IN","County or equivalent",21575,8,-6,56,62,15,3,12,-1
"Bloomington-Normal, IL","Metropolitan Statistical Area",169572,266,259,541,282,7,83,-76,0
"McLean County, IL","County or equivalent",169572,266,259,541,282,7,83,-76,0
"Boise City-Nampa, ID","Metropolitan Statistical Area",616561,1492,1205,2128,923,301,320,-19,-14
"Ada County, ID","County or equivalent",392365,1101,686,1259,573,427,216,211,-12
"Boise County, ID","County or equivalent",7028,-11,5,8,3,-16,3,-19,0
"Canyon County, ID","County or equivalent",188923,487,503,786,283,-14,90,-104,-2
"Gem County, ID","County or equivalent",16719,-50,-11,41,52,-39,3,-42,0
"Owyhee County, ID","County or equivalent",11526,-35,22,34,12,-57,8,-65,0
"Boston-Cambridge-Quincy, MA-NH","Metropolitan Statistical Area",4552402,6970,4753,13090,8337,2270,3796,-1526,-53
"Boston-Quincy, MA","Metropolitan Division",1887792,2777,1944,5467,3523,822,1842,-1020,11
"Norfolk County, MA","County or equivalent",670850,1257,436,1778,1342,829,344,485,-8
"Plymouth County, MA","County or equivalent",494919,812,316,1320,1004,511,228,283,-15
"Suffolk County, MA","County or equivalent",722023,708,1192,2369,1177,-518,1270,-1788,34
"Cambridge-Newton-Framingham, MA","Metropolitan Division",1503085,2635,1798,4470,2672,875,1379,-504,-38
"Middlesex County, MA","County or equivalent",1503085,2635,1798,4470,2672,875,1379,-504,-38
"Peabody, MA","Metropolitan Division",743159,1325,714,2193,1479,631,482,149,-20
"Essex County, MA","County or equivalent",743159,1325,714,2193,1479,631,482,149,-20
"Rockingham County-Strafford County, NH","Metropolitan Division",418366,233,297,960,663,-58,93,-151,-6
"Rockingham County, NH","County or equivalent",295223,168,182,639,457,-8,68,-76,-6
"Strafford County, NH","County or equivalent",123143,65,115,321,206,-50,25,-75,0
"Boulder, CO","Metropolitan Statistical Area",294567,602,391,762,371,216,214,2,-5
"Boulder County, CO","County or equivalent",294567,602,391,762,371,216,214,2,-5
"Bowling Green, KY","Metropolitan Statistical Area",125953,369,172,399,227,197,89,108,0
"Edmonson County, KY","County or equivalent",12161,-4,-1,26,27,-2,0,-2,-1
"Warren County, KY","County or equivalent",113792,373,173,373,200,199,89,110,1
"Bremerton-Silverdale, WA","Metropolitan Statistical Area",251133,605,265,729,464,344,152,192,-4
"Kitsap County, WA","County or equivalent",251133,605,265,729,464,344,152,192,-4
"Bridgeport-Stamford-Norwalk, CT","Metropolitan Statistical Area",916829,1510,1025,2527,1502,524,884,-360,-39
"Fairfield County, CT","County or equivalent",916829,1510,1025,2527,1502,524,884,-360,-39
"Brownsville-Harlingen, TX","Metropolitan Statistical Area",406220,1708,1300,1897,597,411,260,151,-3
"Cameron County, TX","County or equivalent",406220,1708,1300,1897,597,411,260,151,-3
"Brunswick, GA","Metropolitan Statistical Area",112370,142,98,334,236,49,49,0,-5
"Brantley County, GA","County or equivalent",18411,-10,-2,48,50,-6,2,-8,-2
"Glynn County, GA","County or equivalent",79626,195,77,254,177,121,47,74,-3
"McIntosh County, GA","County or equivalent",14333,-43,23,32,9,-66,0,-66,0
"Buffalo-Niagara Falls, NY","Metropolitan Statistical Area",1135509,-216,172,3008,2836,-341,266,-607,-47
"Erie County, NY","County or equivalent",919040,-289,162,2436,2274,-414,231,-645,-37
"Niagara County, NY","County or equivalent",216469,73,10,572,562,73,35,38,-10
"Burlington, NC","Metropolitan Statistical Area",151131,401,85,449,364,320,91,229,-4
"Alamance County, NC","County or equivalent",151131,401,85,449,364,320,91,229,-4
"Burlington-South Burlington, VT","Metropolitan Statistical Area",211261,245,199,531,332,51,65,-14,-5
"Chittenden County, VT","County or equivalent",156545,214,139,379,240,78,53,25,-3
"Franklin County, VT","County or equivalent",47746,37,50,137,87,-12,11,-23,-1
"Grand Isle County, VT","County or equivalent",6970,-6,10,15,5,-15,1,-16,-1
"Canton-Massillon, OH","Metropolitan Statistical Area",404422,-221,89,1127,1038,-299,50,-349,-11
"Carroll County, OH","County or equivalent",28836,-29,0,78,78,-28,0,-28,-1
"Stark County, OH","County or equivalent",375586,-192,89,1049,960,-271,50,-321,-10
"Cape Coral-Fort Myers, FL","Metropolitan Statistical Area",618754,1696,55,1509,1454,1708,554,1154,-67
"Lee County, FL","County or equivalent",618754,1696,55,1509,1454,1708,554,1154,-67
"Cape Girardeau-Jackson, MO-IL","Metropolitan Statistical Area",96275,167,65,283,218,101,9,92,1
"Alexander County, IL","County or equivalent",8238,-10,17,26,9,-27,1,-28,0
"Bollinger County, MO","County or equivalent",12363,-22,-9,32,41,-13,0,-13,0
"Cape Girardeau County, MO","County or equivalent",75674,199,57,225,168,141,8,133,1
"Carson City, NV","Metropolitan Statistical Area",55274,-62,17,165,148,-80,28,-108,1
"Carson City, NV","County or equivalent",55274,-62,17,165,148,-80,28,-108,1
"Casper, WY","Metropolitan Statistical Area",75450,24,86,253,167,-62,5,-67,0
"Natrona County, WY","County or equivalent",75450,24,86,253,167,-62,5,-67,0
"Cedar Rapids, IA","Metropolitan Statistical Area",257940,370,298,805,507,78,58,20,-6
"Benton County, IA","County or equivalent",26076,-3,9,72,63,-12,0,-12,0
"Jones County, IA","County or equivalent",20638,35,-4,55,59,39,0,39,0
"Linn County, IA","County or equivalent",211226,338,293,678,385,51,58,-7,-6
"Champaign-Urbana, IL","Metropolitan Statistical Area",231891,275,337,695,358,-61,208,-269,-1
"Champaign County, IL","County or equivalent",201081,289,347,617,270,-59,207,-266,1
"Ford County, IL","County or equivalent",14081,-7,-10,39,49,4,1,3,-1
"Piatt County, IL","County or equivalent",16729,-7,0,39,39,-6,0,-6,-1
"Charleston, WV","Metropolitan Statistical Area",304284,23,-4,888,892,43,30,13,-16
"Boone County, WV","County or equivalent",24629,-17,3,78,75,-19,0,-19,-1
"Clay County, WV","County or equivalent",9386,-6,18,31,13,-24,0,-24,0
"Kanawha County, WV","County or equivalent",193063,-74,-25,573,598,-35,21,-56,-14
"Lincoln County, WV","County or equivalent",21720,-11,-9,61,70,-1,0,-1,-1
"Putnam County, WV","County or equivalent",55486,131,9,145,136,122,9,113,0
"Charleston-North Charleston-Summerville, SC","Metropolitan Statistical Area",664607,3106,1088,2321,1233,1992,373,1619,26
"Berkeley County, SC","County or equivalent",177843,922,335,623,288,575,129,446,12
"Charleston County, SC","County or equivalent",350209,1127,516,1235,719,610,210,400,1
"Dorchester County, SC","County or equivalent",136555,1057,237,463,226,807,34,773,13
"Charlotte-Gastonia-Rock Hill, NC-SC","Metropolitan Statistical Area",1758038,5931,3208,6031,2823,2709,1204,1505,14
"Anson County, NC","County or equivalent",26948,-34,20,64,44,-54,0,-54,0
"Cabarrus County, NC","County or equivalent",178011,547,249,576,327,299,99,200,-1
"Gaston County, NC","County or equivalent",206086,110,111,632,521,2,82,-80,-3
"Mecklenburg County, NC","County or equivalent",919628,3513,2157,3408,1251,1354,828,526,2
"Union County, NC","County or equivalent",201292,909,357,612,255,543,106,437,9
"York County, SC","County or equivalent",226073,886,314,739,425,565,89,476,7
"Charlottesville, VA","Metropolitan Statistical Area",201559,406,251,568,317,160,151,9,-5
"Albemarle County, VA","County or equivalent",98970,204,104,272,168,104,88,16,-4
"Fluvanna County, VA","County or equivalent",25691,69,36,72,36,34,2,32,-1
"Greene County, VA","County or equivalent",18403,53,32,53,21,21,0,21,0
"Nelson County, VA","County or equivalent",15020,-4,-1,36,37,-2,3,-5,-1
"Charlottesville city, VA","County or equivalent",43475,84,80,135,55,3,58,-55,1
"Chattanooga, TN-GA","Metropolitan Statistical Area",528143,1079,287,1556,1269,794,105,689,-2
"Catoosa County, GA","County or equivalent",63942,58,37,173,136,22,9,13,-1
"Dade County, GA","County or equivalent",16633,-18,-5,33,38,-13,0,-13,0
"Walker County, GA","County or equivalent",68756,127,-5,174,179,133,3,130,-1
"Hamilton County, TN","County or equivalent",336463,844,245,1051,806,597,91,506,2
"Marion County, TN","County or equivalent",28237,53,11,86,75,43,0,43,-1
"Sequatchie County, TN","County or equivalent",14112,15,4,39,35,12,2,10,-1
"Cheyenne, WY","Metropolitan Statistical Area",91738,392,158,318,160,231,45,186,3
"Laramie County, WY","County or equivalent",91738,392,158,318,160,231,45,186,3
"Chicago-Joliet-Naperville, IL-IN-WI","Metropolitan Statistical Area",9461105,11479,16148,32384,16236,-4720,6046,-10766,51
"Chicago-Joliet-Naperville, IL","Metropolitan Division",7883147,9798,14024,27384,13360,-4274,5312,-9586,48
"Cook County, IL","County or equivalent",5194675,5296,9093,18693,9600,-3831,4083,-7914,34
"DeKalb County, IL","County or equivalent",105160,26,156,331,175,-136,63,-199,6
"DuPage County, IL","County or equivalent",916924,1018,1309,2690,1381,-283,440,-723,-8
"Grundy County, IL","County or equivalent",50063,64,75,172,97,-11,10,-21,0
"Kane County, IL","County or equivalent",515269,1109,1261,1905,644,-162,332,-494,10
"Kendall County, IL","County or equivalent",114736,503,335,438,103,163,23,140,5
"McHenry County, IL","County or equivalent",308760,469,497,921,424,-29,141,-170,1
"Will County, IL","County or equivalent",677560,1313,1298,2234,936,15,220,-205,0
"Gary, IN","Metropolitan Division",708070,394,637,2243,1606,-234,159,-393,-9
"Jasper County, IN","County or equivalent",33478,50,29,98,69,22,4,18,-1
"Lake County, IN","County or equivalent",496005,125,513,1667,1154,-383,135,-518,-5
"Newton County, IN","County or equivalent",14244,14,-10,31,41,25,1,24,-1
"Porter County, IN","County or equivalent",164343,205,105,447,342,102,19,83,-2
"Lake County-Kenosha County, IL-WI","Metropolitan Division",869888,1287,1487,2757,1270,-212,575,-787,12
"Lake County, IL","County or equivalent",703462,1030,1233,2215,982,-218,529,-747,15
"Kenosha County, WI","County or equivalent",166426,257,254,542,288,6,46,-40,-3
"Chico, CA","Metropolitan Statistical Area",220000,0,69,606,537,-61,75,-136,-8
"Butte County, CA","County or equivalent",220000,0,69,606,537,-61,75,-136,-8
"Cincinnati-Middletown, OH-KY-IN","Metropolitan Statistical Area",2130151,2264,2784,7193,4409,-515,619,-1134,-5
"Dearborn County, IN","County or equivalent",50047,43,43,138,95,2,5,-3,-2
"Franklin County, IN","County or equivalent",23087,-13,11,59,48,-25,0,-25,1
"Ohio County, IN","County or equivalent",6128,-17,6,14,8,-24,0,-24,1
"Boone County, KY","County or equivalent",118811,503,226,429,203,275,79,196,2
"Bracken County, KY","County or equivalent",8488,18,13,27,14,4,0,4,1
"Campbell County, KY","County or equivalent",90336,198,107,308,201,91,8,83,0
"Gallatin County, KY","County or equivalent",8589,24,30,35,5,-6,2,-8,0
"Grant County, KY","County or equivalent",24662,27,33,91,58,-6,1,-7,0
"Kenton County, KY","County or equivalent",159720,176,297,623,326,-119,41,-160,-2
"Pendleton County, KY","County or equivalent",14877,36,11,49,38,26,0,26,-1
"Brown County, OH","County or equivalent",44846,10,15,131,116,-3,0,-3,-2
"Butler County, OH","County or equivalent",368130,702,487,1208,721,221,157,64,-6
"Clermont County, OH","County or equivalent",197363,405,251,622,371,162,32,130,-8
"Hamilton County, OH","County or equivalent",802374,-426,946,2797,1851,-1381,223,-1604,9
"Warren County, OH","County or equivalent",212693,578,308,662,354,268,71,197,2
"Clarksville, TN-KY","Metropolitan Statistical Area",273949,1179,708,1209,501,455,357,98,16
"Christian County, KY","County or equivalent",73955,169,237,375,138,-74,155,-229,6
"Trigg County, KY","County or equivalent",14339,23,-10,41,51,34,2,32,-1
"Montgomery County, TN","County or equivalent",172331,968,489,762,273,469,198,271,10
"Stewart County, TN","County or equivalent",13324,19,-8,31,39,26,2,24,1
"Cleveland, TN","Metropolitan Statistical Area",115788,175,43,327,284,134,26,108,-2
"Bradley County, TN","County or equivalent",98963,168,59,284,225,111,24,87,-2
"Polk County, TN","County or equivalent",16825,7,-16,43,59,23,2,21,0
"Cleveland-Elyria-Mentor, OH","Metropolitan Statistical Area",2077240,-1700,992,5937,4945,-2676,477,-3153,-16
"Cuyahoga County, OH","County or equivalent",1280122,-2122,573,3823,3250,-2703,331,-3034,8
"Geauga County, OH","County or equivalent",93389,-10,42,221,179,-50,5,-55,-2
"Lake County, OH","County or equivalent",230041,13,29,590,561,-7,66,-73,-9
"Lorain County, OH","County or equivalent",301356,170,205,847,642,-24,46,-70,-11
"Medina County, OH","County or equivalent",172332,249,143,456,313,108,29,79,-2
"Coeur d'Alene, ID","Metropolitan Statistical Area",138494,419,137,435,298,282,13,269,0
"Kootenai County, ID","County or equivalent",138494,419,137,435,298,282,13,269,0
"College Station-Bryan, TX","Metropolitan Statistical Area",228660,813,500,767,267,310,245,65,3
"Brazos County, TX","County or equivalent",194851,804,482,672,190,317,231,86,5
"Burleson County, TX","County or equivalent",17187,25,-1,45,46,27,7,20,-1
"Robertson County, TX","County or equivalent",16622,-16,19,50,31,-34,7,-41,-1
"Colorado Springs, CO","Metropolitan Statistical Area",645613,4996,1393,2313,920,3512,516,2996,91
"El Paso County, CO","County or equivalent",622263,4896,1374,2258,884,3433,515,2918,89
"Teller County, CO","County or equivalent",23350,100,19,55,36,79,1,78,2
"Columbia, MO","Metropolitan Statistical Area",172786,534,277,517,240,254,105,149,3
"Boone County, MO","County or equivalent",162642,551,260,487,227,287,104,183,4
"Howard County, MO","County or equivalent",10144,-17,17,30,13,-33,1,-34,-1
"Columbia, SC","Metropolitan Statistical Area",767598,2343,1007,2451,1444,1321,452,869,15
"Calhoun County, SC","County or equivalent",15175,-40,22,40,18,-63,0,-63,1
"Fairfield County, SC","County or equivalent",23956,-78,-4,57,61,-74,2,-76,0
"Kershaw County, SC","County or equivalent",61697,162,29,190,161,133,17,116,0
"Lexington County, SC","County or equivalent",262391,1066,367,869,502,691,123,568,8
"Richland County, SC","County or equivalent",384504,1182,560,1234,674,616,297,319,6
