"NAME","LSAD","CENSUS2010POP","NPOPCHG_2010","NATURALINC2010","BIRTHS2010","DEATHS2010","NETMIG2010","INTERNATIONALMIG2010","DOMESTICMIG2010","RESIDUAL2010"
"Pleasants County, WV","County or equivalent",7605,-24,3,13,10,-26,0,-26,-1
"Wirt County, WV","County or equivalent",5717,14,5,10,5,9,1,8,0
"Wood County, WV","County or equivalent",86956,69,-5,252,257,78,4,74,-4
"Pascagoula, MS","Metropolitan Statistical Area",162246,92,123,495,372,-28,90,-118,-3
"George County, MS","County or equivalent",22578,102,23,88,65,79,3,76,0
"Jackson County, MS","County or equivalent",139668,-10,100,407,307,-107,87,-194,-3
"Pensacola-Ferry Pass-Brent, FL","Metropolitan Statistical Area",448991,993,346,1365,1019,648,291,357,-1
"Escambia County, FL","County or equivalent",297619,345,214,951,737,140,206,-66,-9
"Santa Rosa County, FL","County or equivalent",151372,648,132,414,282,508,85,423,8
"Peoria, IL","Metropolitan Statistical Area",379186,-229,347,1235,888,-571,74,-645,-5
"Marshall County, IL","County or equivalent",12640,-7,1,33,32,-7,2,-9,-1
"Peoria County, IL","County or equivalent",186494,-210,268,685,417,-484,63,-547,6
"Stark County, IL","County or equivalent",5994,-57,-2,12,14,-52,0,-52,-3
"Tazewell County, IL","County or equivalent",135394,45,55,384,329,-4,3,-7,-6
"Woodford County, IL","County or equivalent",38664,0,25,121,96,-24,6,-30,-1
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Metropolitan Statistical Area",5965343,6246,5925,18619,12694,436,3205,-2769,-115
"Camden, NJ","Metropolitan Division",1250679,598,959,3520,2561,-343,664,-1007,-18
"Burlington County, NJ","County or equivalent",448734,385,229,1116,887,175,252,-77,-19
"Camden County, NJ","County or equivalent",513657,-56,533,1623,1090,-597,355,-952,8
"Gloucester County, NJ","County or equivalent",288288,269,197,781,584,79,57,22,-7
"Philadelphia, PA","Metropolitan Division",4008994,5106,4176,12943,8767,1022,2111,-1089,-92
